policy_state_IL,policy_state_IN,policy_state_OH,insured_sex_FEMALE,insured_sex_MALE,insured_education_level_Associate,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_adm-clerical,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_hobbies_base-jumping,insured_hobbies_basketball,insured_hobbies_board-games,insured_hobbies_bungie-jumping,insured_hobbies_camping,insured_hobbies_chess,insured_hobbies_cross-fit,insured_hobbies_dancing,insured_hobbies_exercise,insured_hobbies_golf,insured_hobbies_hiking,insured_hobbies_kayaking,insured_hobbies_movies,insured_hobbies_paintball,insured_hobbies_polo,insured_hobbies_reading,insured_hobbies_skydiving,insured_hobbies_sleeping,insured_hobbies_video-games,insured_hobbies_yachting,insured_relationship_husband,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Multi-vehicle Collision,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,incident_severity_Major Damage,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Ambulance,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,incident_state_NC,incident_state_NY,incident_state_OH,incident_state_PA,incident_state_SC,incident_state_VA,incident_state_WV,incident_city_Arlington,incident_city_Columbus,incident_city_Hillsdale,incident_city_Northbend,incident_city_Northbrook,incident_city_Riverwood,incident_city_Springfield,auto_make_Accura,auto_make_Audi,auto_make_BMW,auto_make_Chevrolet,auto_make_Dodge,auto_make_Ford,auto_make_Honda,auto_make_Jeep,auto_make_Mercedes,auto_make_Nissan,auto_make_Saab,auto_make_Suburu,auto_make_Toyota,auto_make_Volkswagen,auto_model_3 Series,auto_model_92x,auto_model_93,auto_model_95,auto_model_A3,auto_model_A5,auto_model_Accord,auto_model_C300,auto_model_CRV,auto_model_Camry,auto_model_Civic,auto_model_Corolla,auto_model_E400,auto_model_Escape,auto_model_F150,auto_model_Forrestor,auto_model_Fusion,auto_model_Grand Cherokee,auto_model_Highlander,auto_model_Impreza,auto_model_Jetta,auto_model_Legacy,auto_model_M5,auto_model_MDX,auto_model_ML350,auto_model_Malibu,auto_model_Maxima,auto_model_Neon,auto_model_Passat,auto_model_Pathfinder,auto_model_RAM,auto_model_RSX,auto_model_Silverado,auto_model_TL,auto_model_Tahoe,auto_model_Ultima,auto_model_Wrangler,auto_model_X5,auto_model_X6,csl_per_person_100,csl_per_person_250,csl_per_person_500,csl_per_accident_1000,csl_per_accident_300,csl_per_accident_500,incident_period_of_day_afternoon,incident_period_of_day_early_morning,incident_period_of_day_evening,incident_period_of_day_fore-noon,incident_period_of_day_morning,incident_period_of_day_night,incident_period_of_day_past_midnight,property_damage,police_report_available,collision_en,months_as_customer,age,policy_number,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,vehicle_age,fraud_reported
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.119130518,0,2.11270992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.070493532,1.445088929,3.972467904,1.20498281,1.347998578,4.758883013,0,0,0,1.055518804,1.272233355,1.929490277,2.638301822,3.129084022,1.85029726,2.362255288,0.531234957,1
0,0,2.265997937,2.023249397,0,0,0,0,0,3.27839107,0,0,0,0,0,0,0,0,0,0,0,4.245045579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.708768615,0,0,0,0,0,0,0,0,0,3.149082175,2.078619738,0,0,0,2.11270992,0,0,0,0,0,0,2.70874539,0,0,0,0,0,2.458146387,0,0,0,0,0,0,0,0,3.139123061,0,0,0,0,4.424945709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.313884513,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426891647,2.426891647,0,0,0,3.575314211,0,0,0,0,0,0,0,3.105740297,0.099349864,4.539963318,2.944256767,3.430021828,5.291695608,0,0.886622204,0,3.166556413,1.272233355,0,2.257926159,2.161209173,2.153105396,2.007141159,2.479096465,1
0,0,2.265997937,2.023249397,0,0,0,0,0,3.27839107,0,0,0,0,0,0,0,0,0,0,0,4.245045579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.388602512,0,3.211374674,0,0,0,0,0,0,0,0,4.217324562,0,2.30180453,0,0,0,0,4.33194431,0,0,0,0,0,0,0,0,2.798010775,0,0,0,0,0,0,3.139123061,4.78944431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.522416901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426891647,2.426891647,0,0,0,0,0,0,3.657091998,0,0,0,0,0,2.546969237,5.447955982,3.512021089,3.430021828,6.181995831,2.86758603,0.99375572,-2.021385285,1.055518804,1.272233355,1.929490277,0.148670035,0.142301839,0.070884128,0.151037077,0.885391595,0
0,0,0,0,0,0,0,0,0,0,3.325979541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98588374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035246766,3.404990789,6.015451397,2.096156086,1.59496015,5.937841088,1.638620589,0,-2.294729212,1.055518804,2.544466709,0,2.307004165,1.413235134,1.209903464,2.525387131,2.479096465,1
0,0,0,0,2.056380829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.719860189,0,0,0,0,0,0,0,0,0,0,0,2.078619738,0,0,0,2.11270992,0,0,0,0,0,0,2.70874539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272879768,0,0,0,2.272879768,0,0,0,0,0,0,0,0,0,2.35832391,1.035246766,0.072254446,3.858968821,2.770813502,3.430021828,5.5098586,0,0,-0.011002477,3.166556413,0,1.929490277,3.012848945,3.645595227,2.43597737,2.592350835,1.947861508,1
2.309401077,0,0,0,2.056380829,0,3.575314211,0,0,0,0,0,0,0,0,4.393224411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.124788121,0,0,0,2.98588374,0,0,0,0,2.078619738,0,0,0,2.11270992,0,0,0,0,0,0,2.70874539,0,0,0,0,0,0,3.745656809,0,0,0,0,0,0,0,3.139123061,0,0,0,0,0,0,5.272037759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.015502333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20785902,0,0,0,2.20785902,0,3.575314211,0,0,0,0,0,2.367072095,0,2.070493532,0.876085163,2.950976157,0.89483001,1.715010914,5.441143671,0,0,0,2.111037609,2.544466709,1.929490277,2.128684594,2.241253957,1.11642502,2.081479721,3.187409741,1
2.309401077,0,0,2.023249397,0,0,0,3.119547875,0,0,0,0,0,0,0,0,5.329312094,0,0,0,0,0,0,0,0,0,0,0,0,5.012317583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.002475094,0,0,2.078619738,0,0,0,0,0,2.531272561,0,0,2.681501176,0,0,0,0,2.53541679,0,0,0,0,0,0,0,3.301878468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.559722935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41551923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272879768,0,0,0,2.272879768,0,0,0,0,0,0,3.591167018,0,2.367072095,0,1.035246766,2.754700771,5.561455065,3.527293795,3.430021828,5.857633999,0,0,-1.538884638,3.166556413,0,1.929490277,2.810792852,2.690394135,1.34015305,2.855544742,2.656174784,0
0,2.333123038,0,0,2.056380829,0,0,0,0,3.27839107,0,0,0,0,0,0,0,0,4.163623061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.388602512,0,0,0,0,0,0,0,0,0,0,2.98588374,0,0,0,0,0,0,2.119130518,0,0,0,2.531272561,0,0,0,0,0,2.45102548,0,2.53541679,0,0,0,0,0,0,0,3.301878468,0,0,0,0,4.78944431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.475721281,0,0,0,0,0,2.272879768,0,0,0,2.272879768,0,0,0,3.657091998,0,0,0,0,0,2.35832391,1.035246766,2.005060889,4.312965153,2.767192425,3.430021828,5.032171376,0,0,-2.357673614,1.055518804,2.544466709,1.929490277,2.554421513,1.494169305,1.488566693,2.775306295,3.010331422,0
0,0,2.265997937,2.023249397,0,0,3.575314211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.524781272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.061013022,0,0,0,0,0,0,0,0,2.871717778,0,0,0,0,0,0,4.217324562,0,2.30180453,0,0,0,0,0,0,2.45102548,0,0,0,0,2.458146387,0,0,3.233161507,0,0,0,0,0,0,0,0,4.457425305,0,0,0,0,0,0,0,0,0,0,0,8.73289574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272879768,0,0,0,2.272879768,0,0,0,0,0,3.657091998,0,0,0,0,0,2.574064655,4.880460567,0.678472621,3.430021828,6.57319428,0,1.758467371,0,1.055518804,1.272233355,0.964745138,0.10643423,0.062257054,0.062023612,0.115637762,3.718644697,0
0,2.333123038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11270992,0,0,0,0,0,0,0,0,0,0,0,0,2.458146387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272879768,0,0,0,2.272879768,0,0,0,0,0,0,0,0,0,0,2.070493532,2.203760617,4.653462401,1.056082843,0.857505457,4.440665992,0,2.446486201,-1.937020778,1.055518804,1.272233355,0.964745138,3.480863905,3.133308608,1.560779899,3.615155043,1.59370487,1
2.309401077,0,0,2.023249397,0,3.33826818,0,0,0,0,0,0,0,0,0,0,0,0,4.163623061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.061013022,0,0,0,0,0,0,0,0,2.871717778,0,0,0,2.078619738,0,0,0,2.11270992,0,0,0,2.844023957,0,0,0,0,3.862249041,0,0,0,0,0,0,0,0,0,3.325979541,0,0,0,0,4.78944431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.879663045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426891647,2.426891647,0,0,0,0,3.657091998,0,0,0,0,0,0,2.070493532,2.438587568,4.99395965,2.77927985,3.430021828,4.48018263,0,1.743690334,0,3.166556413,1.272233355,0,1.516265415,1.596448751,0.795231314,1.482641309,1.947861508,1
0,2.333123038,0,2.023249397,0,3.33826818,0,0,0,0,0,0,5.061013022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.012317583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.211374674,0,0,0,0,0,0,0,0,4.217324562,0,0,0,4.393224411,0,0,0,0,2.45102548,0,0,0,0,0,3.745656809,0,0,3.244257867,0,0,0,0,0,4.78944431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.522416901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20785902,0,0,0,2.20785902,2.625443764,0,0,0,0,0,0,0,0,0,1.156071143,3.972467904,1.735106152,1.715010914,4.671566541,0,0,-1.78379027,1.055518804,2.544466709,0,0.320569763,0.306838339,0.152843902,0.325673698,1.062469914,0
2.309401077,0,0,0,2.056380829,0,0,0,0,3.27839107,0,0,0,0,0,4.393224411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.329312094,0,0,0,0,0,0,0,0,0,0,0,0,3.363338438,0,2.078619738,0,0,0,0,2.30180453,0,0,0,0,0,2.70874539,0,0,0,0,0,0,0,2.798010775,0,3.244257867,0,0,0,0,0,0,0,0,4.595553745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.824122436,0,0,0,0,0,2.20785902,0,0,0,2.20785902,0,3.575314211,0,0,0,0,0,0,0,1.035246766,1.237357395,3.404972489,3.673392776,0.857505457,4.51755551,0,2.054008106,-2.182218834,3.166556413,2.544466709,0.964745138,3.126716676,1.496392771,2.981563645,3.176498531,2.302018146,0
0,2.333123038,0,2.023249397,0,0,0,0,3.244257867,0,0,0,0,0,0,0,0,0,0,0,0,4.245045579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.061013022,0,0,0,0,0,0,0,0,0,3.002475094,0,0,0,0,0,4.217324562,0,2.30180453,0,0,0,0,4.33194431,0,0,0,0,0,0,0,3.745656809,0,3.233161507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.273374357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.879663045,0,0,0,0,0,0,0,0,0,0,2.20785902,0,0,0,2.20785902,0,0,0,3.514238921,0,0,0,2.367072095,2.35832391,0,2.664382713,5.220957816,3.421993342,0.857505457,5.500940279,0,1.928403293,-1.626612029,1.055518804,1.272233355,2.894235415,0.192595273,0.168983433,0.084174902,0.201776095,1.947861508,0
2.309401077,0,0,2.023249397,0,0,0,3.119547875,0,0,0,0,0,0,0,0,0,0,4.163623061,0,0,0,0,0,0,0,5.388602512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.363338438,0,0,0,2.119130518,0,0,2.30180453,0,0,0,2.681501176,0,0,0,0,2.53541679,0,0,0,0,0,0,3.244257867,0,0,0,0,0,0,4.78944431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.012931228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272879768,0,0,0,2.272879768,0,2.625443764,0,0,0,0,0,0,0,0,1.035246766,0.623194601,2.950976157,2.350887387,3.430021828,4.018540649,0,0,0,1.055518804,2.544466709,1.929490277,2.665924039,1.169543236,2.330315717,2.793005952,1.770783189,0
0,0,2.265997937,0,2.056380829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.871717778,0,0,0,0,0,2.119130518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.798010775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035246766,3.928835526,6.696445895,2.657367606,1.360003655,4.917578124,2.048275736,2.526356085,-1.470274508,1.055518804,1.272233355,0.964745138,2.631121735,1.458593845,2.126523848,2.721912328,2.124939827,1
0,0,2.265997937,0,2.056380829,0,0,0,0,0,0,3.470735223,0,0,0,0,0,0,0,0,0,0,0,0,0,4.748555621,0,0,0,0,0,0,0,0,0,0,0,0,5.111247971,0,0,0,0,0,0,0,0,0,0,0,0,3.149082175,0,0,2.119130518,0,2.11270992,0,0,0,0,2.681501176,0,0,0,0,0,7.638788177,0,0,0,0,0,0,0,0,0,3.389089552,0,0,0,0,0,0,0,0,0,0,4.273374357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.466316712,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20785902,0,0,0,2.20785902,0,0,0,0,0,3.591167018,0,0,0,3.105740297,3.973994555,6.923444061,0.84257002,0.857505457,4.566270625,0,1.533117561,-2.566026166,1.055518804,2.544466709,2.894235415,2.265528604,1.325185872,1.320216889,2.461432368,2.479096465,1
0,2.333123038,0,0,2.056380829,0,0,3.119547875,0,0,0,0,0,0,0,4.393224411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.329312094,0,0,0,0,0,0,0,0,0,0,0,3.002475094,0,0,2.078619738,0,0,0,0,0,2.531272561,0,0,0,0,0,2.45102548,0,2.53541679,0,0,0,0,0,0,0,0,0,0,3.389089552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.559722935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41551923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20785902,0,0,0,2.20785902,0,0,0,0,0,3.591167018,0,2.367072095,2.35832391,2.070493532,0.939307804,3.631970655,3.582216109,0.857505457,5.032432117,0,1.178468679,-1.630267336,3.166556413,1.272233355,2.894235415,2.684930152,2.174549971,2.16639617,2.596539754,2.124939827,1
2.309401077,0,0,0,2.056380829,0,0,0,0,3.27839107,0,0,0,0,0,0,5.329312094,0,0,0,0,0,0,0,0,0,0,6.635044048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98588374,0,0,0,0,2.078619738,0,0,0,0,0,2.531272561,0,0,0,0,2.70874539,0,0,0,0,0,0,3.745656809,0,0,0,0,0,3.745656809,0,0,0,0,0,4.595553745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.824122436,0,0,0,0,0,2.20785902,0,0,0,2.20785902,0,0,0,0,3.657091998,0,0,0,2.35832391,2.070493532,0.659321824,2.950976157,3.640002798,3.430021828,5.176534989,1.638620589,1.082417941,0,3.166556413,0,0.964745138,1.696189946,1.116180046,0,2.073219881,2.656174784,0
2.309401077,0,0,0,2.056380829,0,3.575314211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.748555621,0,0,0,0,0,5.794156174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.363338438,0,2.078619738,0,0,0,0,2.30180453,0,0,0,0,0,0,2.45102548,0,0,0,0,2.458146387,0,0,0,0,0,3.325979541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.393224411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.154509463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426891647,2.426891647,0,0,2.625443764,0,0,0,0,0,0,0,2.35832391,3.105740297,3.784326633,6.015451397,1.811505337,3.430021828,3.198727415,2.457930883,1.688276446,0,4.222075218,0,0,2.630445963,1.153978972,2.29930391,2.755836671,1.062469914,0
2.309401077,0,0,2.023249397,0,0,3.575314211,0,0,0,0,0,0,0,0,0,0,0,0,0,4.708768615,0,0,0,0,0,0,0,0,0,0,5.794156174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.871717778,0,0,0,2.078619738,0,0,0,0,2.30180453,0,0,0,0,0,2.70874539,0,0,0,0,0,2.458146387,0,0,0,0,0,0,0,0,3.139123061,0,0,0,0,0,0,0,0,0,0,0,4.393224411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.154509463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426891647,2.426891647,0,0,2.625443764,0,0,0,0,0,0,0,2.35832391,1.035246766,2.185697005,4.99395965,2.633529507,3.430021828,6.07044213,2.457930883,0,-2.251669684,3.166556413,1.272233355,1.929490277,2.825575384,1.487498906,2.963842613,2.762916534,3.364488059,1
0,0,2.265997937,0,2.056380829,0,0,0,0,3.27839107,0,0,0,0,0,0,0,0,4.163623061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.111247971,0,0,0,0,0,0,0,0,0,0,3.002475094,0,0,0,0,2.119130518,0,2.11270992,0,0,0,2.844023957,0,0,0,0,0,0,0,0,0,0,2.798010775,0,0,0,0,3.745656809,0,0,0,4.78944431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.012931228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.272879768,0,0,0,2.272879768,0,0,0,0,0,3.657091998,0,0,0,0,1.035246766,1.156071143,3.404972489,1.983007324,1.715010914,4.612204502,0,1.599614226,-2.419813849,1.055518804,0,2.894235415,2.894419747,2.77043892,1.380025372,2.940503098,3.718644697,0
